id,title,genres,averageRating,numVotes,releaseYear
tt0111161,The Shawshank Redemption,Drama,9.3,2985453,1994
tt0068646,The Godfather,"Crime, Drama",9.2,2083472,1972
tt0252487,The Chaos Class,Comedy,9.2,43891,1975
tt0259534,Ramayana: The Legend of Prince Rama,"Action, Adventure, Animation",9.2,15787,1993
tt16747572,The Silence of Swastika,"Documentary, History",9.1,10593,2021
tt0468569,The Dark Knight,"Action, Crime, Drama",9,2965826,2008
tt0167260,The Lord of the Rings: The Return of the King,"Adventure, Drama, Fantasy",9,2043149,2003
tt0108052,Schindler's List,"Biography, Drama, History",9,1496229,1993
tt0071562,The Godfather Part II,"Crime, Drama",9,1405397,1974
tt0050083,12 Angry Men,"Crime, Drama",9,902993,1957
tt0110912,Pulp Fiction,"Crime, Drama",8.9,2291114,1994
tt0120737,The Lord of the Rings: The Fellowship of the Ring,"Adventure, Drama, Fantasy",8.9,2072714,2001
tt5354160,Mirror Game,"Crime, Mystery, Thriller",8.9,30175,2016
tt0253828,Tosun Pasha,"Comedy, History",8.9,25230,1976
tt5275892,O.J.: Made in America,"Biography, Crime, Documentary",8.9,22792,2016
tt0075143,The Message,"Action, Adventure, Biography",8.9,11103,1976
tt1375666,Inception,"Action, Adventure, Sci-Fi",8.8,2632801,2010
tt0137523,Fight Club,Drama,8.8,2413111,1999
tt0109830,Forrest Gump,"Drama, Romance",8.8,2336298,1994
tt0167261,The Lord of the Rings: The Two Towers,"Adventure, Drama, Fantasy",8.8,1842515,2002
tt0060196,"The Good, the Bad and the Ugly","Adventure, Drama, Western",8.8,837696,1966
tt23849204,12th Fail,"Biography, Drama",8.8,138945,2023
tt0252488,The Chaos Class Failed the Class,Comedy,8.8,25185,1975
tt0253779,The Foster Brothers,"Comedy, History",8.8,21514,1976
tt0084302,The Marathon Family,"Comedy, Drama",8.8,17376,1982
tt10534500,#Home,"Drama, Family",8.8,16254,2021
tt0086935,Balkan Spy,"Comedy, Drama",8.8,12751,1984
tt2077886,The Phantom of the Opera at the Royal Albert Hall,"Drama, Musical, Romance",8.8,10260,2011
tt0816692,Interstellar,"Adventure, Drama, Sci-Fi",8.7,2240318,2014
tt0133093,The Matrix,"Action, Sci-Fi",8.7,2117981,1999
tt0080684,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",8.7,1418575,1980
tt0099685,Goodfellas,"Biography, Crime, Drama",8.7,1300649,1990
tt0073486,One Flew Over the Cuckoo's Nest,Drama,8.7,1101079,1975
tt15097216,Jai Bhim,"Crime, Drama",8.7,223005,2021
tt10189514,Soorarai Pottru,Drama,8.7,126699,2020
tt9263550,Rocketry: The Nambi Effect,"Biography, Drama",8.7,60090,2022
tt7466810,777 Charlie,"Adventure, Comedy, Drama",8.7,42317,2022
tt16492678,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,"Action, Animation, Fantasy",8.7,28226,2021
tt0093603,Nayakan,"Crime, Drama",8.7,25761,1987
tt0088178,Stop Making Sense,"Documentary, Music",8.7,22094,1984
tt0252490,The Chaos Class Is Waking Up,Comedy,8.7,21328,1976
tt8176054,Pariyerum Perumal,Drama,8.7,19225,2018
tt0253614,"Saban, Son of Saban","Comedy, History",8.7,19126,1977
tt6019206,Kill Bill: The Whole Bloody Affair,"Action, Crime, Thriller",8.7,17854,2006
tt0252597,"Feyzo, the Polite One","Comedy, Drama",8.7,17780,1978
tt0076276,Who's Singin' Over There?,"Adventure, Comedy, Drama",8.7,17038,1980
tt14888874,Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,"Action, Animation, Fantasy",8.7,17001,2020
tt7738784,Resurrection,"Drama, Family",8.7,16963,2018
tt17592606,Daman,"Adventure, Drama",8.7,13932,2022
tt0214915,Manichithrathazhu,"Comedy, Horror, Mystery",8.7,13138,1993
tt8737152,Toma,"Biography, Drama, Music",8.7,12802,2021
tt0765833,Happy Days,"Comedy, Drama, Family",8.7,12253,1978
tt0090015,Shoah,"Documentary, History, War",8.7,10864,1985
tt0114369,Se7en,"Crime, Drama, Mystery",8.6,1867121,1995
tt0102926,The Silence of the Lambs,"Crime, Drama, Thriller",8.6,1603260,1991
tt0120815,Saving Private Ryan,"Drama, War",8.6,1543404,1998
tt0076759,Star Wars: Episode IV - A New Hope,"Action, Adventure, Fantasy",8.6,1487250,1977
tt0120689,The Green Mile,"Crime, Drama, Fantasy",8.6,1457021,1999
tt0103064,Terminator 2: Judgment Day,"Action, Adventure, Sci-Fi",8.6,1212355,1991
tt0245429,Spirited Away,"Adventure, Animation, Family",8.6,887881,2001
tt0317248,City of God,"Crime, Drama",8.6,824388,2002
tt0118799,Life Is Beautiful,"Comedy, Drama, Romance",8.6,765103,1997
tt0038650,It's a Wonderful Life,"Drama, Family, Fantasy",8.6,519919,1946
tt0047478,Seven Samurai,"Action, Drama",8.6,378415,1954
tt0056058,Harakiri,"Drama, Mystery",8.6,76300,1962
tt0367495,Anbe Sivam,"Adventure, Comedy, Drama",8.6,26395,2003
tt0358456,Earthlings,Documentary,8.6,20049,2005
tt0252489,The Chaos Class Is on Vacation,Comedy,8.6,19256,1977
tt0116860,"Pretty Village, Pretty Flame","Drama, History, War",8.6,18170,1996
tt0271383,A Dog's Will,"Comedy, Drama, Fantasy",8.6,18155,2000
tt0201368,The Broken Landlord,"Comedy, Drama",8.6,16804,1985
tt25434834,Viduthalai Part 2,"Action, Crime, Drama",8.6,13791,2024
tt4139928,The Legend of Maula Jatt,"Action, Drama, Fantasy",8.6,10937,2022
tt0267351,My Dear Brother,Drama,8.6,10594,1973
tt1853728,Django Unchained,"Comedy, Drama, Western",8.5,1753986,2012
tt0172495,Gladiator,"Action, Adventure, Drama",8.5,1712369,2000
tt0482571,The Prestige,"Drama, Mystery, Sci-Fi",8.5,1487144,2006
tt0407887,The Departed,"Crime, Drama, Thriller",8.5,1463131,2006
tt0088763,Back to the Future,"Adventure, Comedy, Sci-Fi",8.5,1352383,1985
tt0110413,Léon: The Professional,"Action, Crime, Drama",8.5,1283293,1994
tt0120586,American History X,"Crime, Drama",8.5,1215644,1998
tt0110357,The Lion King,"Adventure, Animation, Drama",8.5,1181649,1994
tt0114814,The Usual Suspects,"Crime, Drama, Mystery",8.5,1173154,1995
tt2582802,Whiplash,"Drama, Music",8.5,1042106,2014
tt6751668,Parasite,"Drama, Thriller",8.5,1021107,2019
tt0078748,Alien,"Horror, Sci-Fi",8.5,998001,1979
tt1675434,The Intouchables,"Comedy, Drama",8.5,960045,2011
tt0253474,The Pianist,"Biography, Drama, Music",8.5,947829,2002
tt0054215,Psycho,"Horror, Mystery, Thriller",8.5,741633,1960
tt0034583,Casablanca,"Drama, Romance, War",8.5,622878,1942
tt10811166,The Kashmir Files,Drama,8.5,575658,2022
tt15239678,Dune: Part Two,"Action, Adventure, Drama",8.5,572272,2024
tt0047396,Rear Window,"Drama, Mystery, Thriller",8.5,538406,1954
tt9362722,Spider-Man: Across the Spider-Verse,"Action, Adventure, Animation",8.5,427456,2023
tt0064116,Once Upon a Time in the West,"Drama, Western",8.5,361580,1968
tt0095327,Grave of the Fireflies,"Animation, Drama, War",8.5,334706,1988
tt0095765,Cinema Paradiso,"Drama, Romance",8.5,295056,1988
tt0027977,Modern Times,"Comedy, Drama, Romance",8.5,268536,1936
tt0021749,City Lights,"Comedy, Drama, Romance",8.5,203830,1931
tt1424432,Senna,"Biography, Documentary, Sport",8.5,79377,2010
tt20850406,Sita Ramam,"Action, Drama, Mystery",8.5,73503,2022
tt27719898,Kaiva,"Action, Drama, Romance",8.5,68939,2023
tt1152758,Dear Zachary: A Letter to a Son About His Father,"Biography, Crime, Documentary",8.5,42264,2008
tt0103767,Baraka,Documentary,8.5,41692,1992
tt7019842,96,"Drama, Romance",8.5,40058,2018
tt11580854,Sarpatta Parambarai,"Action, Drama, Sport",8.5,26396,2021
tt0346336,The Best of Youth,"Drama, Romance",8.5,24322,2003
tt24082438,20 Days in Mariupol,"Documentary, War",8.5,24155,2023
tt8948790,Jersey,"Drama, Sport",8.5,23970,2019
tt1014762,Home,"Documentary, Family",8.5,23202,2009
tt0253997,The King of the Street Cleaners,"Comedy, Romance",8.5,21936,1977
tt0054407,The Hole,"Crime, Drama, Thriller",8.5,21326,1960
tt0079221,Gol Maal,"Comedy, Romance",8.5,20529,1979
tt8413338,Kumbalangi Nights,"Comedy, Drama, Romance",8.5,19279,2019
tt0263975,The Girl with the Red Scarf,"Drama, Romance",8.5,17345,1977
tt0101649,Thalapathi,"Action, Crime, Drama",8.5,13955,1991
tt9617456,For Sama,"Biography, Documentary, War",8.5,13171,2019
tt0253991,Zübük,Comedy,8.5,11504,1980
tt1345836,The Dark Knight Rises,"Action, Drama, Thriller",8.4,1883169,2012
tt0361748,Inglourious Basterds,"Adventure, Drama, War",8.4,1643594,2009
tt0209144,Memento,"Mystery, Thriller",8.4,1357842,2000
tt4154796,Avengers: Endgame,"Action, Adventure, Drama",8.4,1322860,2019
tt4154756,Avengers: Infinity War,"Action, Adventure, Sci-Fi",8.4,1256953,2018
tt0910970,WALL·E,"Adventure, Animation, Family",8.4,1239376,2008
tt0081505,The Shining,"Drama, Horror",8.4,1147235,1980
tt0082971,Raiders of the Lost Ark,"Action, Adventure",8.4,1061153,1981
tt0090605,Aliens,"Action, Adventure, Sci-Fi",8.4,797437,1986
tt0078788,Apocalypse Now,"Drama, Mystery, War",8.4,731030,1979
tt4633694,Spider-Man: Into the Spider-Verse,"Action, Adventure, Animation",8.4,709585,2018
tt2380307,Coco,"Adventure, Animation, Drama",8.4,630133,2017
tt1187043,3 Idiots,"Comedy, Drama",8.4,450126,2009
tt0086879,Amadeus,"Biography, Drama, Music",8.4,441891,1984
tt0405094,The Lives of Others,"Drama, Mystery, Thriller",8.4,422120,2006
tt5311514,Your Name.,"Animation, Drama, Fantasy",8.4,343348,2016
tt0082096,Das Boot,"Drama, War",8.4,273735,1981
tt0032553,The Great Dictator,"Comedy, Drama, War",8.4,245573,1940
tt0043014,Sunset Boulevard,"Drama, Film-Noir",8.4,245095,1950
tt0050825,Paths of Glory,"Drama, War",8.4,222319,1957
tt0051201,Witness for the Prosecution,"Crime, Drama, Mystery",8.4,145771,1957
tt8267604,Capernaum,Drama,8.4,112608,2018
tt26548265,Maharaja,"Action, Crime, Drama",8.4,59395,2024
tt0057565,High and Low,"Crime, Drama, Mystery",8.4,57695,1963
tt1313104,The Cove,"Biography, Crime, Documentary",8.4,51990,2009
tt21626284,Lost Ladies,"Comedy, Drama",8.4,47370,2023
tt9900782,Kaithi,"Action, Crime, Thriller",8.4,45351,2019
tt12361178,Drishyam 2,"Crime, Drama, Mystery",8.4,42257,2021
tt0770802,Samsara,"Documentary, Music",8.4,38695,2011
tt9477520,Asuran,"Action, Drama",8.4,35029,2019
tt3674140,The Salt of the Earth,"Biography, Documentary, History",8.4,24125,2014
tt0058625,Woman in the Dunes,"Drama, Thriller",8.4,23668,1964
tt0416960,The Lizard,"Comedy, Drama",8.4,23160,2004
tt0400234,Black Friday,"Action, Crime, Drama",8.4,22441,2004
tt4987556,Thani Oruvan,"Action, Crime, Drama",8.4,22318,2015
tt5959980,Vada Chennai,"Action, Crime, Drama",8.4,20844,2018
tt0047445,Sansho the Bailiff,Drama,8.4,18777,1954
tt0052572,The World of Apu,Drama,8.4,17350,1959
tt7465992,Mahanati,"Biography, Drama",8.4,15431,2018
tt0059550,Operation 'Y' & Other Shurik's Adventures,"Comedy, Crime, Drama",8.4,15363,1965
tt0073000,The Pinchcliffe Grand Prix,"Animation, Comedy, Family",8.4,14653,1975
tt0314067,Philanthropy,"Comedy, Drama",8.4,14130,2002
tt4991384,Visaaranai,"Crime, Drama, Thriller",8.4,12684,2015
tt12415546,Attack on Titan: Chronicle,"Action, Adventure, Animation",8.4,12185,2020
tt0184756,Mr. Muhsin,"Comedy, Drama, Music",8.4,12152,1987
tt0383846,"When I Grow Up, I'll Be a Kangaroo",Comedy,8.4,11806,2004
tt26758372,Meiyazhagan,"Drama, Family",8.4,11635,2024
tt7286456,Joker,"Crime, Drama, Thriller",8.3,1573468,2019
tt0169547,American Beauty,Drama,8.3,1234981,1999
tt1049413,Up,"Adventure, Animation, Comedy",8.3,1161255,2009
tt0086190,Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy",8.3,1148981,1983
tt0105236,Reservoir Dogs,"Crime, Thriller",8.3,1117503,1992
tt0112573,Braveheart,"Biography, Drama, War",8.3,1115915,1995
tt0338013,Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",8.3,1115475,2004
tt0119217,Good Will Hunting,"Drama, Romance",8.3,1112323,1997
tt0114709,Toy Story,"Adventure, Animation, Comedy",8.3,1104007,1995
tt0086250,Scarface,"Crime, Drama",8.3,946812,1983
tt0180093,Requiem for a Dream,Drama,8.3,924707,2000
tt0435761,Toy Story 3,"Adventure, Animation, Comedy",8.3,917917,2010
tt15398776,Oppenheimer,"Biography, Drama, History",8.3,833334,2023
tt0211915,Amélie,"Comedy, Romance",8.3,810095,2001
tt0062622,2001: A Space Odyssey,"Adventure, Sci-Fi",8.3,742007,1968
tt0113277,Heat,"Action, Crime, Drama",8.3,741414,1995
tt0364569,Oldboy,"Action, Drama, Mystery",8.3,662696,2003
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Comedy, War",8.3,531986,1964
tt0033467,Citizen Kane,"Drama, Mystery",8.3,476093,1941
tt0119698,Princess Mononoke,"Adventure, Animation, Fantasy",8.3,450609,1997
tt0052357,Vertigo,"Mystery, Romance, Thriller",8.3,439159,1958
tt0087843,Once Upon a Time in America,"Crime, Drama",8.3,388953,1984
tt2106476,The Hunt,Drama,8.3,379703,2012
tt0053125,North by Northwest,"Adventure, Drama, Mystery",8.3,356630,1959
tt0056592,To Kill a Mockingbird,"Crime, Drama",8.3,340044,1962
tt0056172,Lawrence of Arabia,"Adventure, Biography, Drama",8.3,324360,1962
tt0070735,The Sting,"Comedy, Crime, Drama",8.3,286529,1973
tt0045152,Singin' in the Rain,"Comedy, Musical, Romance",8.3,268616,1952
tt1832382,A Separation,Drama,8.3,265902,2011
tt5074352,Dangal,"Action, Biography, Drama",8.3,220553,2016
tt1255953,Incendies,"Drama, Mystery, War",8.3,218223,2010
tt0986264,Like Stars on Earth,"Drama, Family",8.3,213950,2007
tt0053604,The Apartment,"Comedy, Drama, Romance",8.3,204505,1960
tt0017136,Metropolis,"Drama, Sci-Fi",8.3,191594,1927
tt0040522,Bicycle Thieves,Drama,8.3,181722,1948
tt0022100,M,"Crime, Mystery, Thriller",8.3,174456,1931
tt0036775,Double Indemnity,"Crime, Drama, Film-Noir",8.3,172452,1944
tt8110330,Dil Bechara,"Comedy, Drama, Romance",8.3,135780,2020
tt10295212,Shershaah,"Action, Biography, Drama",8.3,131521,2021
tt8503618,Hamilton,"Biography, Drama, History",8.3,123397,2020
tt0091251,Come and See,"Drama, Thriller, War",8.3,107252,1985
tt0044741,Ikiru,Drama,8.3,93954,1952
tt0055031,Judgment at Nuremberg,"Drama, War",8.3,89038,1961
tt9179430,Vikram,"Action, Crime, Thriller",8.3,79072,2022
tt9052870,Chhichhore,"Comedy, Drama, Romance",8.3,66597,2019
tt7060344,Raatchasan,"Crime, Mystery, Thriller",8.3,52802,2018
tt10280296,Sardar Udham,"Crime, Drama, History",8.3,48538,2021
tt3417422,Drishyam,"Crime, Drama, Mystery",8.3,45244,2013
tt0019760,Man with a Movie Camera,Documentary,8.3,28753,1929
tt0110057,Hoop Dreams,"Documentary, Drama, Sport",8.3,28541,1994
tt7681902,Won't You Be My Neighbor?,"Biography, Documentary, History",8.3,27495,2018
tt4679210,Premam,"Comedy, Drama, Romance",8.3,24990,2015
tt3668162,Bangalore Days,"Comedy, Drama, Romance",8.3,23772,2014
tt0376127,Anniyan,"Action, Crime, Drama",8.3,22675,2005
tt0058888,Red Beard,Drama,8.3,21913,1965
tt9098872,The Rescue,"Action, Documentary, Mystery",8.3,21669,2021
tt0037674,Children of Paradise,"Drama, Romance",8.3,21633,1945
tt0110081,To Live,"Drama, War",8.3,21102,1994
tt4908644,Winter on Fire: Ukraine's Fight for Freedom,"Documentary, History, War",8.3,20941,2015
tt0050634,The Cranes Are Flying,"Drama, Romance, War",8.3,20619,1957
tt13391710,Jana Gana Mana,Drama,8.3,18419,2022
tt10214826,Agent Sai Srinivasa Athreya,"Comedy, Crime, Mystery",8.3,17676,2019
tt0195231,Satya,"Action, Crime, Drama",8.3,17309,1998
tt0062759,The Diamond Arm,"Adventure, Comedy, Crime",8.3,16795,1969
tt5312232,Sairat,"Drama, Romance",8.3,15182,2016
tt0085743,Jaane Bhi Do Yaaro,"Comedy, Crime, Drama",8.3,14993,1983
tt5867800,Aruvi,Drama,8.3,14657,2016
tt0061847,Samurai Rebellion,Drama,8.3,14596,1967
tt3521134,The Look of Silence,"Biography, Documentary, History",8.3,14206,2014
tt0252591,King of the Doormen,Comedy,8.3,14059,1976
tt0060584,"Kidnapping, Caucasian Style","Adventure, Comedy, Drama",8.3,14039,1967
tt9006564,2018,"Action, Drama, Thriller",8.3,13761,2023
tt2358592,Lucia,"Drama, Sci-Fi, Thriller",8.3,13543,2013
tt0072783,Chupke Chupke,"Comedy, Drama, Romance",8.3,13466,1975
tt0068519,Gentlemen of Fortune,"Comedy, Crime, Drama",8.3,13356,1971
tt2877108,Soodhu Kavvum,"Comedy, Crime, Thriller",8.3,12192,2013
tt0252619,From the Village to the City,Comedy,8.3,12178,1974
tt0139876,Baasha,"Action, Crime, Drama",8.3,11920,1995
tt8652818,Violet Evergarden: The Movie,"Animation, Drama, Fantasy",8.3,11437,2020
tt18568902,Kaun Pravin Tambe?,"Biography, Drama, Sport",8.3,11381,2022
tt0179955,Cat City,"Adventure, Animation, Comedy",8.3,11041,1986
tt4851630,Maheshinte Prathikaaram,"Comedy, Drama, Thriller",8.3,10920,2016
tt0301634,Frozen Stiff,"Comedy, Drama",8.3,10380,2002
tt0993846,The Wolf of Wall Street,"Biography, Comedy, Crime",8.2,1647469,2013
tt0372784,Batman Begins,"Action, Drama",8.2,1621714,2005
tt1130884,Shutter Island,"Drama, Mystery, Thriller",8.2,1515521,2010
tt0120382,The Truman Show,"Comedy, Drama",8.2,1248480,1998
tt0266697,Kill Bill: Vol. 1,"Action, Crime, Thriller",8.2,1229935,2003
tt0266543,Finding Nemo,"Adventure, Animation, Comedy",8.2,1142920,2003
tt0107290,Jurassic Park,"Action, Adventure, Sci-Fi",8.2,1099758,1993
tt0477348,No Country for Old Men,"Crime, Drama, Thriller",8.2,1099234,2007
tt0167404,The Sixth Sense,"Drama, Mystery, Thriller",8.2,1083050,1999
tt0268978,A Beautiful Mind,"Biography, Drama, Mystery",8.2,1009600,2001
tt0095016,Die Hard,"Action, Thriller",8.2,976919,1988
tt0075314,Taxi Driver,"Crime, Drama",8.2,958462,1976
tt0208092,Snatch,"Comedy, Crime",8.2,932813,2000
tt10872600,Spider-Man: No Way Home,"Action, Adventure, Fantasy",8.2,925269,2021
tt0066921,A Clockwork Orange,"Crime, Sci-Fi",8.2,900837,1971
tt1392214,Prisoners,"Crime, Drama, Mystery",8.2,848394,2013
tt0097576,Indiana Jones and the Last Crusade,"Action, Adventure",8.2,828812,1989
tt0093058,Full Metal Jacket,"Drama, War",8.2,810821,1987
tt1745960,Top Gun: Maverick,"Action, Drama",8.2,749335,2022
tt0457430,Pan's Labyrinth,"Drama, Fantasy, War",8.2,717033,2006
tt8579674,1917,"Action, Drama, War",8.2,709451,2019
tt0469494,There Will Be Blood,Drama,8.2,659321,2007
tt0119488,L.A. Confidential,"Crime, Drama, Mystery",8.2,633884,1997
tt6966692,Green Book,"Biography, Comedy, Drama",8.2,613124,2018
tt0112641,Casino,"Crime, Drama",8.2,581663,1995
tt0071853,Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy",8.2,581546,1975
tt0084787,The Thing,"Horror, Mystery, Sci-Fi",8.2,487759,1982
tt0347149,Howl's Moving Castle,"Adventure, Animation, Family",8.2,471145,2004
tt0105695,Unforgiven,"Drama, Western",8.2,447040,1992
tt0363163,Downfall,"Biography, Drama, History",8.2,383654,2004
tt0031381,Gone with the Wind,"Drama, Romance, War",8.2,341966,1939
tt0053291,Some Like It Hot,"Comedy, Music, Romance",8.2,290629,1959
tt0059578,For a Few Dollars More,"Drama, Western",8.2,283494,1965
tt0080678,The Elephant Man,"Biography, Drama",8.2,265976,1980
tt0057115,The Great Escape,"Adventure, Drama, Thriller",8.2,265144,1963
tt1305806,The Secret in Their Eyes,"Drama, Mystery, Romance",8.2,229103,2009
tt4729430,Klaus,"Adventure, Animation, Comedy",8.2,207293,2019
tt10272386,The Father,"Drama, Mystery",8.2,205891,2020
tt0046912,Dial M for Murder,"Crime, Thriller",8.2,194814,1954
tt0042876,Rashomon,"Crime, Drama, Mystery",8.2,186460,1950
tt10698680,K.G.F: Chapter 2,"Action, Crime, Drama",8.2,156349,2022
tt0042192,All About Eve,Drama,8.2,142614,1950
tt0089881,Ran,"Action, Drama, War",8.2,140872,1985
tt0012349,The Kid,"Comedy, Drama, Family",8.2,139135,1921
tt0040897,The Treasure of the Sierra Madre,"Adventure, Drama, Western",8.2,135752,1948
tt0055630,Yojimbo,"Action, Drama, Thriller",8.2,135543,1961
tt4849438,Baahubali 2: The Conclusion,"Action, Drama",8.2,120696,2017
tt5813916,The Mountain II,"Action, Drama, War",8.2,111139,2016
tt29623480,The Wild Robot,"Animation, Sci-Fi",8.2,107646,2024
tt8108198,Andhadhun,"Crime, Mystery, Thriller",8.2,106555,2018
tt15327088,Kantara,"Action, Adventure, Drama",8.2,106435,2022
tt1954470,Gangs of Wasseypur,"Action, Comedy, Crime",8.2,106357,2012
tt7838252,K.G.F: Chapter 1,"Action, Crime, Drama",8.2,102882,2018
tt0367110,Swades,"Drama, Musical",8.2,100539,2004
tt4430212,Drishyam,"Crime, Drama, Mystery",8.2,99047,2015
tt0476735,My Father and My Son,"Drama, Family",8.2,95716,2005
tt1562872,Zindagi Na Milegi Dobara,"Comedy, Drama, Musical",8.2,88911,2011
tt0118849,Children of Heaven,"Drama, Family, Sport",8.2,83970,1997
tt1645089,Inside Job,"Crime, Documentary",8.2,80474,2010
tt11032374,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"Action, Adventure, Animation",8.2,79950,2020
tt0242519,Hera Pheri,"Action, Comedy, Crime",8.2,74900,2000
tt8291224,Uri: The Surgical Strike,"Action, Drama, History",8.2,74691,2019
tt2125608,Searching for Sugar Man,"Biography, Documentary, Music",8.2,74095,2012
tt2356180,Bhaag Milkha Bhaag,"Biography, Drama, Sport",8.2,73831,2013
tt8239946,Tumbbad,"Drama, Fantasy, Horror",8.2,66147,2018
tt0015324,Sherlock Jr.,"Action, Comedy, Romance",8.2,60044,1924
tt10431500,Miracle in Cell No. 7,Drama,8.2,57933,2019
tt6148156,Vikram Vedha,"Action, Crime, Drama",8.2,52164,2017
tt15501640,Drishyam 2,"Crime, Drama, Mystery",8.2,47487,2022
tt6316138,Ayla: The Daughter of War,"Biography, Drama, History",8.2,45146,2017
tt0085809,Koyaanisqatsi,"Documentary, Music",8.2,42734,1982
tt2375605,The Act of Killing,"Biography, Crime, Documentary",8.2,41809,2012
tt0048473,Pather Panchali,Drama,8.2,39641,1955
tt7905466,They Shall Not Grow Old,"Documentary, History, War",8.2,39281,2018
tt1620933,Paan Singh Tomar,"Action, Biography, Crime",8.2,38573,2012
tt5895028,13th,"Crime, Documentary, History",8.2,38234,2016
tt0071411,Dersu Uzala,"Adventure, Biography, Drama",8.2,34473,1975
tt5929776,The First Born,"Documentary, News",8.2,29165,2016
tt0045274,Umberto D.,Drama,8.2,29085,1952
tt7392212,Rangasthalam,"Action, Drama",8.2,28736,2018
tt0049902,A Man Escaped,"Drama, Thriller, War",8.2,27269,1956
tt4983780,Maanaadu,"Action, Adventure, Sci-Fi",8.2,26044,2021
tt0466460,Khosla Ka Ghosla!,"Comedy, Crime, Drama",8.2,25551,2006
tt26458038,Manjummel Boys,"Adventure, Drama, Thriller",8.2,24848,2024
tt0100234,Close-Up,"Biography, Crime, Drama",8.2,24297,1990
tt0054248,Rocco and His Brothers,"Crime, Drama, Sport",8.2,22897,1960
tt0042804,The Young and the Damned,"Crime, Drama",8.2,22539,1950
tt0041154,Late Spring,"Comedy, Drama",8.2,20050,1949
tt0070233,Ivan Vasilyevich Changes His Profession,"Adventure, Comedy, Sci-Fi",8.2,19120,1973
tt25433734,Hi Nanna,"Drama, Family, Romance",8.2,18960,2023
tt0100332,Paris Is Burning,Documentary,8.2,18710,1990
tt0117293,Paradise Lost: The Child Murders at Robin Hood Hills,"Crime, Documentary",8.2,18631,1996
tt7019942,Super Deluxe,"Comedy, Crime, Drama",8.2,18496,2019
tt5460658,Life and a Day,Drama,8.2,18226,2016
tt2181831,Shahid,"Biography, Drama",8.2,18030,2012
tt0422320,Ghilli,"Action, Drama, Romance",8.2,17950,2004
tt0048452,Ordet,Drama,8.2,17937,1955
tt0081059,Lion of the Desert,"Biography, Drama, History",8.2,17915,1980
tt0050371,A Face in the Crowd,"Drama, Music",8.2,17878,1957
tt7060460,Theeran Adhigaram Ondru,"Action, Crime, Thriller",8.2,17683,2017
tt6380520,Dhuruvangal Pathinaaru,"Crime, Drama, Mystery",8.2,17393,2016
tt2218988,Ustad Hotel,"Comedy, Drama",8.2,17296,2012
tt0048956,Aparajito,Drama,8.2,16576,1956
tt0471571,Athadu,"Action, Crime, Drama",8.2,15451,2005
tt27118357,Amaran,"Action, Biography, Drama",8.2,15172,2024
tt0023042,I Am a Fugitive from a Chain Gang,"Crime, Drama, Film-Noir",8.2,14851,1932
tt1180583,Vaaranam Aayiram,"Action, Drama, Musical",8.2,14845,2008
tt9500372,Pocket Hercules: Naim Süleymanoglu,"Biography, Drama, History",8.2,14564,2019
tt3569782,Jigarthanda,"Comedy, Crime, Drama",8.2,14019,2014
tt0101985,A Brighter Summer Day,"Crime, Drama, Romance",8.2,13584,1991
tt9124428,Champion,"Biography, Drama, Romance",8.2,13539,2018
tt0056512,The Easy Life,"Comedy, Drama",8.2,13173,1962
tt0111341,Satantango,Drama,8.2,13050,1994
tt0052600,Ballad of a Soldier,"Drama, Romance, War",8.2,11646,1959
